Paster et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=230
Pertermann & Hirshmann 2002	http://earthref.org/cgi-bin/err.cgi?n=99702
Philpotts & Schnetzler 1970	http://earthref.org/cgi-bin/err.cgi?n=232
Ray et al. 1983	http://earthref.org/cgi-bin/err.cgi?n=236
Reid 1983	http://earthref.org/cgi-bin/err.cgi?n=237
Ringwood 1970	http://earthref.org/cgi-bin/err.cgi?n=238
Ronov & Yaroshevskiy 1976	http://earthref.org/cgi-bin/err.cgi?n=916
Salters & Longhi 1999	http://earthref.org/cgi-bin/err.cgi?n=99703
Schmidt et al. 1999	http://earthref.org/cgi-bin/err.cgi?n=99704
Schnetzler & Philpotts 1970	http://earthref.org/cgi-bin/err.cgi?n=240
Seitz & Shimizu 1972	http://earthref.org/cgi-bin/err.cgi?n=247
Seitz 1973	http://earthref.org/cgi-bin/err.cgi?n=246
Shimizu 1974	http://earthref.org/cgi-bin/err.cgi?n=254
Shimizu 1980	http://earthref.org/cgi-bin/err.cgi?n=250
Shimizu et al. 1982	http://earthref.org/cgi-bin/err.cgi?n=251
Sisson 1991	http://earthref.org/cgi-bin/err.cgi?n=257
Skulski et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=259
Sobolev et al. 1996	http://earthref.org/cgi-bin/err.cgi?n=264
Stalder et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=297
Streck & Grunder 1997	http://earthref.org/cgi-bin/err.cgi?n=267
Sun et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=268
Tanaka & Nishizawa 1975	http://earthref.org/cgi-bin/err.cgi?n=273
Tronnes et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=274
Tuff & Gibson 2007	http://earthref.org/cgi-bin/err.cgi?n=99706
Ulmer 1989	http://earthref.org/cgi-bin/err.cgi?n=275
Vannucci et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=99709
Vanwestrenen et al. 2000	http://earthref.org/cgi-bin/err.cgi?n=99708
Villemant 1988	http://earthref.org/cgi-bin/err.cgi?n=278
Villemant et al. 1981	http://earthref.org/cgi-bin/err.cgi?n=277
Walker et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=279
Watson & Ryerson 1986	http://earthref.org/cgi-bin/err.cgi?n=283
Watson et al. 1987	http://earthref.org/cgi-bin/err.cgi?n=285
Wood & Trigila 2001	http://earthref.org/cgi-bin/err.cgi?n=99711
Zack & Brumm 1998	http://earthref.org/cgi-bin/err.cgi?n=295
Zack et al. 2002	http://earthref.org/cgi-bin/err.cgi?n=99712
Marks et al. 2004	http://earthref.org/cgi-bin/err.cgi?n=99700
Onuma et al. 1968	http://earthref.org/cgi-bin/err.cgi?n=228
Bea et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=168
Evensen & London 2003	http://earthref.org/cgi-bin/err.cgi?n=99690
Adam & Green 2006	http://earthref.org/cgi-bin/err.cgi?n=99679
Beattie 1993	http://earthref.org/cgi-bin/err.cgi?n=188
Bennett et al. 2004	http://earthref.org/cgi-bin/err.cgi?n=99681
Brunet & Chazot 2001	http://earthref.org/cgi-bin/err.cgi?n=99686
Draper et al. 2006	http://earthref.org/cgi-bin/err.cgi?n=99754
Dwarzski et al. 2006	http://earthref.org/cgi-bin/err.cgi?n=99689
Elkins et al. 2008	http://earthref.org/cgi-bin/err.cgi?n=99755
Fujimaki et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=346
Gaetani et al. 2003	http://earthref.org/cgi-bin/err.cgi?n=99694
Green et al. 1989	http://earthref.org/cgi-bin/err.cgi?n=100
Green et al. 2000	http://earthref.org/cgi-bin/err.cgi?n=99695
Hauri et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=110
Irving & Frey 1976	http://earthref.org/cgi-bin/err.cgi?n=126
Irving & Frey 1978	http://earthref.org/cgi-bin/err.cgi?n=123
Jenner et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=129
Johnson 1994	http://earthref.org/cgi-bin/err.cgi?n=132
Johnson 1998	http://earthref.org/cgi-bin/err.cgi?n=133
Kato et al. 1988	http://earthref.org/cgi-bin/err.cgi?n=141
Keleman & Dunn 1992	http://earthref.org/cgi-bin/err.cgi?n=143
Klemme et al. 2002	http://earthref.org/cgi-bin/err.cgi?n=98602
Latourrette et al. 1993	http://earthref.org/cgi-bin/err.cgi?n=158
McKenzie & O'Nions 1991	http://earthref.org/cgi-bin/err.cgi?n=200
Mysen 1978	http://earthref.org/cgi-bin/err.cgi?n=205
Nicholls & Harris 1980	http://earthref.org/cgi-bin/err.cgi?n=219
Ohtani et al. 1989	http://earthref.org/cgi-bin/err.cgi?n=226
Philpotts & Schnetzler 1970	http://earthref.org/cgi-bin/err.cgi?n=232
Ronov & Yaroshevskiy 1976	http://earthref.org/cgi-bin/err.cgi?n=916
Salters & Longhi 1999	http://earthref.org/cgi-bin/err.cgi?n=99703
Schnetzler & Philpotts 1970	http://earthref.org/cgi-bin/err.cgi?n=240
Shimizu & Kushiro 1975	http://earthref.org/cgi-bin/err.cgi?n=253
Shimizu 1980	http://earthref.org/cgi-bin/err.cgi?n=250
Sisson & Bacon 1992	http://earthref.org/cgi-bin/err.cgi?n=256
Stalder et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=297
Sweeney et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=271
